code,en
categories:head_title,Categories
categories:meta_description,
char_comma,Comma
char_dot,Dot
char_nonbreaking_space,Non-Breaking Space
char_single_quote,Single quote
char_space,Space
checkout:head_title,Checkout
cm_google_maps:description_priority,Process this module by the given priority value.
cm_google_maps:description_status,Enables or disables the module.
cm_google_maps:title_priority,Priority
cm_google_maps:title_status,Status
create_account:head_title,Create Account
customer_service:head_title,Customer Service
customer_service:meta_description,
description_click_printable_copy,Click here for a printable copy
description_fixed_header,Fixate the header position making it stick on top while scroll.
description_logged_out,You are now logged out.
description_no_existing_product_groups,There are no existing product groups.
description_no_items_in_cart,There are no items in your cart.
description_order_completed,Thank you for shopping in our store. We will process your order shortly.
description_order_status_email_message,Compose a message that will be used as email body or leave blank to display the order copy.
description_scan_before_importing_translations,It is recommended to always scan your installation for unregistered translations before performing an import or export.
description_scan_for_translations,This will scan your files for translations. New translations will be added to the database.
description_set_as_default_currency,Set as default currency
description_set_as_default_language,Set as default language
description_set_as_store_currency,Set as store currency
description_set_as_store_language,Set as store language
description_set_mysql_collation,This will recursively convert the charset and collation for all selected database tables and belonging columns.
email_account_created,"Welcome %customer_firstname %customer_lastname to %store_name!

Your account has been created. You can now make purchases in our online store and keep track of history.

Login using your email address %customer_email and password %customer_password.

%store_name

%store_link"
email_body_password_reset,We have set a new password for your account at %store_link. Use your email %email and new password %password to log in.
email_subject_account_created,"Welcome %customer_firstname %customer_lastname to %store_name!

Your account has been created. You can now make purchases in our online store and keep track of history.

Login using your email address %customer_email and password %customer_password.

%store_name

%store_link"
email_subject_customer_account_created,Customer Account Created
email_subject_new_password,New Password
error_400_bad_request,The server cannot or will not process the request due to a client error.
error_403_forbidden,Access to the requested file is forbidden
error_404_not_found,The requested file could not be found
error_410_gone,The requested file is no longer available
error_account_expired,The account expired %s
error_account_has_been_blocked,The account has been temporary blocked %d minutes
error_account_inactive,"Your account is inactive, contact customer support"
error_account_is_blocked,The account is blocked until %s
error_account_suspended,The account is suspended
error_already_logged_in,You are already logged in
error_cannot_add_to_cart_invalid_quantity,Cannot add product to cart. Invalid quantity
error_cannot_delete_default_currency,You must change the default currency before it can be deleted.
error_cannot_delete_default_language,You must change the default language before it can be deleted.
error_cannot_delete_framework_language,You cannot delete the PHP framework language. But you can disable it.
error_cannot_delete_store_currency,You must change the store currency before it can be deleted.
error_cannot_delete_store_language,You must change the store language before it can be deleted.
error_cannot_disable_default_currency,You cannot disable the default currency
error_cannot_disable_default_language,You must change the default language before disabling it.
error_cannot_disable_store_currency,You cannot disable the store currency
error_cannot_disable_store_language,You must change the store language before disabling it.
error_cannot_mount_category_to_self,Cannot mount category to itself
error_cannot_rename_default_currency,You must change the default currency before renaming it.
error_cannot_rename_default_language,You must change the default language before renaming it.
error_cannot_rename_framework_language,"You cannot not rename the framework language, but you can disable it"
error_cannot_rename_store_currency,You must change the store currency before renaming it.
error_cannot_rename_store_language,You must change the store language before renaming it.
error_cannot_select_payment_option_with_error,Cannot set a payment option that contains errors.
error_cannot_select_shipping_option_with_error,Cannot set a shipping option that contains errors.
error_cannot_set_disabled_default_currency,You cannot set a disabled currency as default currency.
error_cannot_set_disabled_default_language,You cannot set a disabled language as default language.
error_cannot_set_disabled_store_currency,You cannot set a disabled currency as store currency.
error_cannot_set_disabled_store_language,You cannot set a disabled language as store language.
error_category_must_be_nested_in_another_category_to_unmount,A category must be nested in another category to be unmounted
error_code_database_conflict,Another entry with the given code already exists in the database
error_delete_category_not_empty_products,The category could not be deleted because there are products linked to it.
error_delete_category_not_empty_subcategories,The category could not be deleted because there are subcategories linked to it.
error_delete_manufacturer_not_empty_products,The manufacturer could not be deleted because there are products linked to it.
error_delete_supplier_not_empty_products,The supplier could not be deleted because there are products linked to it.
error_d_login_attempts_left,You have %d login attempts left until your account is blocked
error_email_already_registered,The email address already exists in our customer database. Please login or select a different email address.
error_email_missing,You must enter your email address.
error_email_not_in_database,The email address does not exist in our database.
error_empty_option_group,Error: Empty option group
error_empty_option_value,Error: Empty option value
error_failed_uploading_image,The uploaded image failed saving to disk. Make sure permissions are set.
error_gtin_database_conflict,Another entry with the given GTIN already exists in the database
error_insufficient_customer_information,"Insufficient customer information, please fill out all necessary fields."
error_invalid_admin_template,Not a valid admin template
error_invalid_captcha,Invalid CAPTCHA given
error_invalid_catalog_template,Not a valid catalog template
error_invalid_image,The image is invalid
error_invalid_payment_option,Cannot set an invalid payment option.
error_invalid_shipping_option,Cannot set an invalid shipping option.
error_language_already_exists,The language already exists in the database
error_login_invalid,"Wrong password or the account is disabled, or does not exist"
error_missing_address1,You must enter an address.
error_missing_city,You must enter a city.
error_missing_code,You must enter a code
error_missing_confirmed_password,You must confirm your password.
error_missing_country,You must select a country.
error_missing_dock,You must select a dock.
error_missing_email,To reset your password you must provide an email address.
error_missing_firstname,You must enter a first name.
error_missing_image,You must select an image
error_missing_lastname,You must enter a last name.
error_missing_login_credentials,You must provide both email address and password.
error_missing_password,You must enter a password.
error_missing_postcode,You must enter a postcode.
error_missing_title,You must enter a title.
error_missing_username,You must provide a username
error_missing_zone,You must select a zone.
error_must_enter_code,You must enter a code
error_must_enter_confirmed_password,You must confirm the password
error_must_enter_email,You must enter a valid email address
error_must_enter_name,You must enter a name
error_must_enter_password,You must enter a password
error_must_enter_rate,You must enter a rate
error_must_enter_username,You must enter a username
error_must_enter_value,You must enter a value
error_must_provide_vqmod,You must provide a valid vQmod file
error_must_select_at_least_one_language,You must select at least one language
error_must_select_a_language,You must select a language
error_must_select_category,You must select a category
error_must_select_category_or_product,You must select a category or product
error_must_select_geo_zone,You must select a geo zone
error_must_select_orders,You must select orders to perform the operation
error_must_select_products,You must select products
error_must_select_tables,You must select at least one table
error_must_select_tax_class,You must select a tax class
error_name_missing,You must enter a name.
error_not_a_supported_charset,%charset is not a supported character set
error_not_a_valid_system_locale,%locale is not a valid system locale on this machine
error_no_payment_method_selected,No payment method selected
error_no_shipping_method_selected,No shipping method selected
error_only_products_are_supported,Only products are supported for this operation
error_order_missing_items,Your order does not contain any items
error_page_not_found,The requested page could not be found
error_passwords_missmatch,The passwords did not match
error_product_options_contains_errors,The product options contains errors
error_sending_email_for_unknown_reason,The email could not be sent for an unknown reason
error_set_product_options,Please set your product options
error_sku_database_conflict,Another entry with the given SKU already exists in the database
error_store_currency_must_have_value_1,The store currency must always have the currency value 1.0.
error_user_not_found,The user could not be found in our database
error_wrong_username_password_combination,Wrong combination of username and password or the account does not exist.
index:head_title,Online Store
index:meta_description,
job_error_reporter:description_email_receipient,The e-mail address where reports will be sent.
job_error_reporter:description_priority,Process this module in the given priority order.
job_error_reporter:description_report_frequency,How often the reports should be sent.
job_error_reporter:description_status,Enables or disables the module.
job_error_reporter:title_email_receipient,E-mail Receipient
job_error_reporter:title_priority,Priority
job_error_reporter:title_report_frequency,Report Frequency
job_error_reporter:title_status,Status
login:head_title,Login
manufacturers:head_title,Manufacturers
manufacturers:meta_description,
modules:description_geo_zone,Limit this module to the selected geo zone. Otherwise leave blank.
modules:description_order_status,Give orders made with this payment method the following order status.
modules:description_priority,Process this module in the given priority order.
notice_existing_customer_account_will_be_used,We found an existing customer account that will be used for this order
order_history:head_title,Order History
order_success:head_title,Order Success
ot_payment_fee:description_priority,Process this module by the given priority value.
ot_payment_fee:description_status,Enables or disables the module.
ot_payment_fee:title_payment_fee,Payment Fee
ot_payment_fee:title_priority,Priority
ot_payment_fee:title_status,Status
ot_shipping_fee:description_countries,"A coma separated list of countries to recceive free shipping e.g. SE,DK or leave blank for all."
ot_shipping_fee:description_free_shipping_amount,Enable free shipping for orders that meet the given cart total amount or above (excluding tax). 0 = disabled
ot_shipping_fee:description_priority,Process this module by the given priority value.
ot_shipping_fee:description_status,Enables or disables the module.
ot_shipping_fee:title_countries,Countries
ot_shipping_fee:title_free_shipping_amount,Free Shipping Amount
ot_shipping_fee:title_priority,Priority
ot_shipping_fee:title_shipping_fee,Shipping Fee
ot_shipping_fee:title_status,Status
ot_subtotal:description_priority,Process this module by the given priority value.
ot_subtotal:description_status,Enables or disables the module.
ot_subtotal:title_priority,Priority
ot_subtotal:title_status,Status
ot_subtotal:title_subtotal,Subtotal
pm_cod:description_icon,Web path of the icon to be displayed.
pm_cod:description_payment_fee,Adds a payment fee to the order.
pm_cod:description_status,Enables or disables the module.
pm_cod:description_tax_class,The tax class for the fee.
pm_cod:title_cash_on_delivery,Cash on Delivery
pm_cod:title_confirm_order,Confirm Order
pm_cod:title_icon,Icon
pm_cod:title_payment_fee,Payment Fee
pm_cod:title_status,Status
pm_cod:title_tax_class,Tax Class
regional_settings:head_title,Regional Settings
settings_group:title_advanced,Advanced
settings_group:title_checkout,Checkout
settings_group:title_defaults,Defaults
settings_group:title_general,General
settings_group:title_images,Images
settings_group:title_listings,Listings
settings_group:title_security,Security
settings_group:title_store_info,Store Info
settings_key:description_auto_decimals,Show only decimals if there are any to display.
settings_key:description_box_campaign_products_num_items,The maximum amount of items to be display in the box.
settings_key:description_box_latest_products_num_items,The maximum amount of items to be display in the box.
settings_key:description_box_most_popular_products_num_items,The maximum amount of items to be display in the box.
settings_key:description_box_recently_viewed_products_num_items,The maximum amount of items to be display in the box.
settings_key:description_box_similar_products_num_items,The maximum amount of items to be display in the box.
settings_key:description_cache_clear,Remove all cached system information.
settings_key:description_cache_clear_thumbnails,Remove all cached image thumbnails from disk.
settings_key:description_cache_enabled,Enables the system cache module which caches frequently used data.
settings_key:description_captcha_enabled,Prevent robots from posting form data by enabling CAPTCHA security.
settings_key:description_catalog_only_mode,Disables the cart and checkout features leaving only a browsable catalog.
settings_key:description_category_image_ratio,The aspect ratio of the category thumbnails
settings_key:description_database_admin_link,The URL to your database manager i.e. phpMyAdmin.
settings_key:description_data_table_rows_per_page,The number of data table rows per page.
settings_key:description_default_country_code,The default country selected if not set otherwise.
settings_key:description_default_currency_code,"The default currency selected, if failed to identify."
settings_key:description_default_delivery_status_id,Default delivery status that will be preset when creating new products.
settings_key:description_default_display_prices_including_tax,Displays prices including tax by default.
settings_key:description_default_language_code,"The default language selected, if failed to identify."
settings_key:description_default_quantity_unit_id,Default quantity unit that will be preset when creating new products.
settings_key:description_default_sold_out_status_id,Default sold out status that will be preset when creating new products.
settings_key:description_default_tax_class_id,Default tax class that will be preset when creating new products.
settings_key:description_default_zone_code,The default zone selected if not set otherwise.
settings_key:description_display_cheapest_shipping,Display the cheapest shipping cost on product page.
settings_key:description_display_stock_count,Show the available amounts of products in stock.
settings_key:description_email_order_copy,Send order copies to the following e-mail addresses. Separate by semi-colons.
settings_key:description_fields_customer_password,"If Register Guests is enabled, show the password field letting customers set their own password. Otherwise randomly generated."
settings_key:description_gzip_enabled,Compresses browser data. Increases the load on the server but decreases the bandwidth.
settings_key:description_image_downsample_size,"Downsample large uploaded images to best fit within the given dimensions of ""width,height"" or leave empty. Default: 2048,2048"
settings_key:description_image_quality,The JPEG quality for uploaded images (0-100). Default: 90
settings_key:description_image_thumbnail_quality,The JPEG quality for thumbnail images (0-100). Default: 65
settings_key:description_image_whitespace_color,"Set the color of any generated whitespace to the given RGB value. Default: 255,255,255"
settings_key:description_items_per_page,The number of items to be displayed per page.
settings_key:description_jobs_interval,The amount of minutes between each execution of jobs.
settings_key:description_jobs_last_run,Time when background jobs where last executed.
settings_key:description_new_products_max_age,Display the new sticker for products younger than the give age. E.g. 1 month or 14 days
settings_key:description_product_image_clipping,The clipping method used for scaled product thumbnails.
settings_key:description_product_image_ratio,The aspect ratio of the product thumbnails
settings_key:description_product_image_watermark,Watermark product images with the store logo.
settings_key:description_regional_settings_screen_enabled,Enables the regional settings screen upon first visit.
settings_key:description_register_guests,Automatically create accounts for all guests.
settings_key:description_round_amounts,Round currency amounts to prevent hidden decimals.
settings_key:description_security_blacklist,Deny blacklisted clients access to the site.
settings_key:description_security_bot_trap,Catch bad behaving bots from crawling your website by setting up a trap.
settings_key:description_security_http_post,Deny incoming HTTP POST data from external sites by checking for valid form tickets.
settings_key:description_security_session_hijacking,Destroy sessions that were signed for a different IP address and user agent.
settings_key:description_security_xss,Detect common XSS attacks and deny access to the site.
settings_key:description_seo_links_enabled,Enabling this requires .htaccess and mod_rewrite rules.
settings_key:description_seo_links_language_prefix,Begins the SEO links with the language code i.e. /en/....
settings_key:description_set_currency_by_language,Chain select currency when changing language.
settings_key:description_store_country_code,The country of your store.
settings_key:description_store_currency_code,The currency of which all prices conform to.
settings_key:description_store_email,The store e-mail address.
settings_key:description_store_language_code,The spoken language of your organization.
settings_key:description_store_length_class,The prefered length class.
settings_key:description_store_name,The name of your store.
settings_key:description_store_phone,The store phone number.
settings_key:description_store_postal_address,The store postal address.
settings_key:description_store_tax_id,The store tax ID or VATIN.
settings_key:description_store_timezone,The store time zone.
settings_key:description_store_visiting_address,The store visiting address if applicable.
settings_key:description_store_weight_class,The prefered weight class.
settings_key:description_store_zone_code,The zone of your store.
settings_key:description_webmail_link,The URL to your webmail client.
settings_key:title_auto_decimals,Auto Decimals
settings_key:title_box_campaign_products_num_items,Campaign Products Box: Number of Items
settings_key:title_box_latest_products_num_items,Latest Products Box: Number of Items
settings_key:title_box_most_popular_products_num_items,Most Popular Products Box: Number of Items
settings_key:title_box_recently_viewed_products_num_items,Recently Viewed Products Box: Number of Items
settings_key:title_box_similar_products_num_items,Similar Products Box: Number of Items
settings_key:title_cache_clear,Clear System Cache
settings_key:title_cache_clear_thumbnails,Clear Thumbnails Cache
settings_key:title_cache_enabled,System Cache Enabled
settings_key:title_captcha_enabled,CAPTCHA
settings_key:title_catalog_only_mode,Catalog Only Mode
settings_key:title_category_image_ratio,Category Images: Aspect Ratio
settings_key:title_database_admin_link,Database Admin Link
settings_key:title_data_table_rows_per_page,Data Table Rows
settings_key:title_default_country_code,Default Country
settings_key:title_default_currency_code,Default Currency
settings_key:title_default_delivery_status_id,Default Delivery Status
settings_key:title_default_display_prices_including_tax,Default Display Prices Including Tax
settings_key:title_default_language_code,Default Language
settings_key:title_default_quantity_unit_id,Default Quantity Unit
settings_key:title_default_sold_out_status_id,Default Sold Out Status
settings_key:title_default_tax_class_id,Default Tax Class
settings_key:title_default_zone_code,Default Zone
settings_key:title_display_cheapest_shipping,Cheapest Shipping
settings_key:title_display_stock_count,Display Stock Count
settings_key:title_email_order_copy,Order Copy Receipients
settings_key:title_fields_customer_password,Password Field
settings_key:title_gzip_enabled,GZIP Enabled
settings_key:title_image_downsample_size,Downsample
settings_key:title_image_quality,Image Quality
settings_key:title_image_thumbnail_quality,Thumbnail Quality
settings_key:title_image_whitespace_color,Whitespace Color
settings_key:title_items_per_page,Items Per Page
settings_key:title_jobs_interval,Jobs Interval
settings_key:title_jobs_last_run,Jobs Last Run
settings_key:title_new_products_max_age,Max Age for New Products
